Date,Commodity,Price,Price_Type,Model,Lower_Bound,Upper_Bound
2027-05-01,Pulse Masoor (Washed),258.48,Forecast,XGBoost,232.63,284.33
2027-06-01,Pulse Masoor (Washed),258.06,Forecast,XGBoost,232.26,283.87
2027-07-01,Pulse Masoor (Washed),257.79,Forecast,XGBoost,232.01,283.57
2026-08-01,Pulse Mash (Washed),494.1,Forecast,Prophet,486.03,502.18
2026-09-01,Pulse Mash (Washed),527.88,Forecast,Prophet,519.81,536.29
2026-10-01,Pulse Mash (Washed),532.53,Forecast,Prophet,523.65,541.44
2026-11-01,Pulse Mash (Washed),515.2,Forecast,Prophet,505.51,525.03
2026-12-01,Pulse Mash (Washed),490.58,Forecast,Prophet,478.74,501.66
2027-01-01,Pulse Mash (Washed),458.4,Forecast,Prophet,445.18,471.63
2027-02-01,Pulse Mash (Washed),493.9,Forecast,Prophet,478.29,508.86
2027-03-01,Pulse Mash (Washed),532.41,Forecast,Prophet,514.23,549.38
2027-04-01,Pulse Mash (Washed),543.1,Forecast,Prophet,523.03,563.19
2027-05-01,Pulse Mash (Washed),528.91,Forecast,Prophet,504.55,551.72
2027-06-01,Pulse Mash (Washed),518.25,Forecast,Prophet,490.13,542.62
2027-07-01,Pulse Mash (Washed),499.38,Forecast,Prophet,469.07,527.37
2026-08-01,Pulse Mash (Washed),447.51,Forecast,XGBoost,402.76,492.26
2026-09-01,Pulse Mash (Washed),447.91,Forecast,XGBoost,403.12,492.7
2026-10-01,Pulse Mash (Washed),450.07,Forecast,XGBoost,405.06,495.08
2026-11-01,Pulse Mash (Washed),444.76,Forecast,XGBoost,400.29,489.24
2026-12-01,Pulse Mash (Washed),439.4,Forecast,XGBoost,395.46,483.34
2027-01-01,Pulse Mash (Washed),430.36,Forecast,XGBoost,387.33,473.4
2027-02-01,Pulse Mash (Washed),455.05,Forecast,XGBoost,409.54,500.55
2027-03-01,Pulse Mash (Washed),459.84,Forecast,XGBoost,413.86,505.83
2027-04-01,Pulse Mash (Washed),470.36,Forecast,XGBoost,423.32,517.39
2027-05-01,Pulse Mash (Washed),460.12,Forecast,XGBoost,414.11,506.13
2027-06-01,Pulse Mash (Washed),460.55,Forecast,XGBoost,414.5,506.61
2027-07-01,Pulse Mash (Washed),454.71,Forecast,XGBoost,409.23,500.18
